# Simulation Configuration;;;;;;;;;
NumContainers,20;;;;;;;;;
NumResources,5;;;;;;;;;
SimulationTime,60;;;;;;;;;
MaxConcurrentAccess,3;;;;;;;;;
SynchronizationEnabled,true;;;;;;;;;
NetworkLatencyMean,15;;;;;;;;;
ProcessingTimeMean,50;;;;;;;;;
;;;;;;;;;
# Summary Metrics;;;;;;;;;
TotalRequests,4205;;;;;;;;;
SuccessfulRequests,4205;;;;;;;;;
Conflicts,0;;;;;;Metric;With Synchronization;Without Synchronization;Difference(%)
Timeouts,0;;;;;;Total Request;4205;4254;1,151857076
TotalDuration,61;;;;;;Successful Requests;4205;4254;1,151857076
ThroughputPerSecond,68.934425;;;;;;Conflicts;0;132;100
AvgAcquireTimeMs,15.930321046373365;;;;;;Timeouts;0;0;No Difference
AvgProcessingTimeMs,50.017598097502976;;;;;;Throughput (ops/sec);68,9344;69,7377;1,151887716
AvgTotalTimeMs,81.65945303210464;;;;;;Average Acquire Time (ms);15,9303;14,7388;-8,08410454
;;;;;;Average Processing Time (ms);50,0176;49,4358;-1,176879913
# Access Logs;;;;;;Average Total Time (ms);81,6595;79,7118;-2,443427447
ContainerId,ResourceId,AcquireTimeMs,ProcessingTimeMs,TotalTimeMs;;;;;;;;;
11,resource_2,16,42,66;;;;;;;;;
5,resource_4,12,34,57;;;;;;;;;
19,resource_1,17,78,104;;;;;;;;;
14,resource_2,17,77,114;;;;;;;;;
8,resource_1,18,56,92;;;;;;;;;
4,resource_3,15,35,63;;;;;;;;;
6,resource_1,21,61,102;;;;;;;;;
0,resource_1,10,30,53;;;;;;;;;
7,resource_3,9,58,80;;;;;;;;;
13,resource_3,23,37,76;;;;;;;;;
16,resource_4,21,47,82;;;;;;;;;
2,resource_1,19,63,88;;;;;;;;;
15,resource_4,16,40,65;;;;;;;;;
9,resource_3,19,29,59;;;;;;;;;
10,resource_2,17,32,71;;;;;;;;;
17,resource_4,18,61,90;;;;;;;;;
1,resource_0,18,53,79;;;;;;;;;
18,resource_1,21,59,91;;;;;;;;;
14,resource_0,4,24,36;;;;;;;;;
12,resource_3,21,33,69;;;;;;;;;
5,resource_0,13,63,92;;;;;;;;;
13,resource_1,14,98,129;;;;;;;;;
14,resource_0,7,32,57;;;;;;;;;
19,resource_1,18,88,116;;;;;;;;;
0,resource_2,16,42,74;;;;;;;;;
14,resource_3,16,30,56;;;;;;;;;
8,resource_3,7,59,77;;;;;;;;;
9,resource_4,19,8,33;;;;;;;;;
11,resource_2,19,49,82;;;;;;;;;
3,resource_2,23,69,106;;;;;;;;;
12,resource_0,16,46,77;;;;;;;;;
7,resource_1,8,60,83;;;;;;;;;
15,resource_3,15,37,79;;;;;;;;;
2,resource_3,21,65,109;;;;;;;;;
6,resource_2,15,52,85;;;;;;;;;
5,resource_3,19,9,47;;;;;;;;;
4,resource_3,21,30,71;;;;;;;;;
13,resource_4,23,44,78;;;;;;;;;
17,resource_0,14,66,91;;;;;;;;;
18,resource_1,23,53,91;;;;;;;;;
8,resource_2,21,36,66;;;;;;;;;
10,resource_4,24,64,108;;;;;;;;;
3,resource_4,3,54,73;;;;;;;;;
16,resource_4,26,34,77;;;;;;;;;
19,resource_4,2,48,66;;;;;;;;;
12,resource_0,8,16,34;;;;;;;;;
1,resource_3,11,40,66;;;;;;;;;
0,resource_1,15,75,105;;;;;;;;;
2,resource_1,17,44,79;;;;;;;;;
11,resource_2,21,44,81;;;;;;;;;
5,resource_1,17,16,43;;;;;;;;;
9,resource_2,12,37,65;;;;;;;;;
8,resource_4,8,49,70;;;;;;;;;
3,resource_0,14,31,65;;;;;;;;;
13,resource_3,23,30,75;;;;;;;;;
4,resource_4,6,22,47;;;;;;;;;
14,resource_3,20,37,67;;;;;;;;;
