# Simulation Configuration
NumContainers,20
NumResources,5
SimulationTime,60
MaxConcurrentAccess,3
SynchronizationEnabled,false
NetworkLatencyMean,15
ProcessingTimeMean,50

# Summary Metrics
TotalRequests,4254
SuccessfulRequests,4254
Conflicts,132
Timeouts,0
TotalDuration,61
ThroughputPerSecond,69.7377
AvgAcquireTimeMs,14.738834038551952
AvgProcessingTimeMs,49.43582510578279
AvgTotalTimeMs,79.71180065820404

# Access Logs
ContainerId,ResourceId,AcquireTimeMs,ProcessingTimeMs,TotalTimeMs
5,resource_2,12,32,60
7,resource_3,16,51,80
16,resource_1,12,66,99
4,resource_3,3,38,49
1,resource_3,19,71,98
2,resource_1,14,55,80
15,resource_4,18,67,100
13,resource_2,20,60,92
3,resource_2,22,60,90
19,resource_4,9,58,85
14,resource_1,15,47,84
9,resource_1,17,46,76
11,resource_2,18,58,96
10,resource_4,20,48,89
16,resource_4,7,30,52
18,resource_1,14,46,82
17,resource_4,19,81,117
0,resource_2,16,88,118
7,resource_3,21,63,103
1,resource_3,15,56,84
9,resource_4,1,46,69
15,resource_4,21,65,106
13,resource_4,5,71,93
4,resource_4,16,66,101
16,resource_0,12,35,69
19,resource_1,12,34,60
6,resource_1,14,93,128
5,resource_0,5,43,60
3,resource_1,9,30,46
8,resource_1,15,59,93
11,resource_1,10,33,59
14,resource_0,15,75,107
7,resource_4,10,64,86
12,resource_2,10,49,75
10,resource_0,18,72,110
2,resource_2,15,82,110
18,resource_0,6,70,87
13,resource_0,27,72,110
1,resource_3,18,51,81
0,resource_0,20,19,56
11,resource_2,21,25,64
8,resource_0,19,33,59
4,resource_4,11,1,27
12,resource_0,17,96,126
9,resource_0,15,98,131
19,resource_0,20,86,120
17,resource_2,14,75,101
2,resource_2,19,33,67
6,resource_2,19,74,104
14,resource_1,15,35,63
3,resource_2,19,92,127
5,resource_1,11,53,83
7,resource_4,17,69,102
16,resource_3,13,49,77
9,resource_1,17,39,84
15,resource_4,18,35,57
17,resource_4,10,53,88
0,resource_1,8,68,91
3,resource_1,16,47,74
18,resource_0,16,81,118
8,resource_3,22,45,79
4,resource_2,13,63,88
10,resource_1,10,75,107
14,resource_3,15,41,81
19,resource_3,9,21,37
0,resource_4,21,52,89
1,resource_3,20,45,81
5,resource_2,10,58,96
13,resource_0,12,19,46
11,resource_0,17,41,68
4,resource_4,17,34,66
6,resource_1,12,50,90
12,resource_0,3,77,103
2,resource_4,11,47,78
19,resource_3,15,37,65
18,resource_0,7,59,87
3,resource_3,3,73,92
15,resource_2,19,50,92
16,resource_2,15,54,85
5,resource_2,20,49,74
17,resource_3,28,77,120
9,resource_4,10,37,62
14,resource_1,6,72,96
8,resource_0,19,63,98
11,resource_0,15,40,71
13,resource_0,19,49,87
0,resource_0,18,47,76
4,resource_2,17,43,71
10,resource_0,12,74,110
1,resource_3,11,72,100
7,resource_3,15,44,72
6,resource_4,14,35,62
0,resource_2,18,30,63
19,resource_3,12,36,64
18,resource_4,17,37,72
12,resource_1,11,55,74
5,resource_2,12,61,85
14,resource_2,17,17,63
9,resource_3,23,72,107
4,resource_0,12,32,50
2,resource_3,33,14,70
16,resource_4,13,72,106
17,resource_0,14,74,105
7,resource_1,8,69,92
15,resource_1,19,42,75
11,resource_0,19,50,87
13,resource_3,17,71,104
6,resource_2,27,42,86
3,resource_0,9,70,87
10,resource_4,23,46,92
1,resource_3,22,31,65
2,resource_3,19,37,66
19,resource_2,14,52,79
8,resource_4,7,56,84
12,resource_4,13,17,41
16,resource_2,15,58,84
1,resource_2,17,51,83
14,resource_4,14,58,91
9,resource_4,19,47,77
0,resource_1,13,67,86
15,resource_4,7,15,38
17,resource_0,8,66,80
4,resource_2,24,65,101
5,resource_0,11,46,67
18,resource_0,25,44,88
6,resource_0,22,41,81
11,resource_3,17,74,112
2,resource_4,10,35,56
7,resource_1,14,80,108
18,resource_3,12,44,75
14,resource_2,17,36,64
8,resource_0,19,13,44
13,resource_0,18,63,103
11,resource_2,16,41,81
12,resource_0,14,64,96
6,resource_0,14,53,79
17,resource_4,7,69,98
19,resource_1,12,52,87
16,resource_0,21,82,117
10,resource_1,27,51,92
7,resource_4,15,88,124
1,resource_1,10,47,65
3,resource_1,11,83,112
8,resource_0,16,42,72
4,resource_2,17,39,75
13,resource_2,18,42,71
0,resource_2,18,62,98
15,resource_3,16,44,78
2,resource_4,21,31,62
1,resource_3,5,61,83
5,resource_2,26,63,107
9,resource_3,5,9,29
7,resource_4,17,8,29
18,resource_3,14,82,112
11,resource_3,11,56,85
16,resource_1,5,64,84
6,resource_2,8,36,50
19,resource_3,16,72,108
1,resource_2,12,63,92
15,resource_1,18,32,67
13,resource_1,15,45,71
3,resource_4,25,32,73
9,resource_0,14,48,77
10,resource_4,7,36,62
14,resource_4,19,83,118
17,resource_0,19,40,70
7,resource_1,17,43,71
12,resource_1,17,66,98
8,resource_0,14,13,41
0,resource_3,17,60,91
1,resource_1,18,54,86
4,resource_3,17,48,79
5,resource_1,10,51,71
9,resource_1,19,28,58
16,resource_4,14,50,77
10,resource_2,11,72,95
6,resource_0,20,39,70
3,resource_4,21,44,73
19,resource_4,18,73,109
2,resource_1,3,20,35
14,resource_4,9,62,91
18,resource_3,6,50,67
17,resource_4,12,64,97
13,resource_3,20,36,71
15,resource_2,14,77,100
7,resource_3,28,58,98
1,resource_1,21,39,72
4,resource_1,17,21,49
3,resource_0,18,36,77
17,resource_0,13,65,86
16,resource_3,19,60,93
11,resource_0,14,72,106
12,resource_4,11,53,83
19,resource_3,19,46,87
9,resource_2,25,73,112
2,resource_2,11,73,89
5,resource_2,19,33,70
8,resource_0,16,55,93
13,resource_0,10,59,89
0,resource_3,15,27,59
6,resource_1,14,59,94
7,resource_4,17,50,84
14,resource_2,16,80,109
18,resource_1,14,69,109
10,resource_2,18,81,116
4,resource_2,10,51,67
11,resource_3,20,44,74
5,resource_2,13,13,37
3,resource_3,19,37,65
1,resource_4,20,75,117
16,resource_1,11,55,74
4,resource_0,25,51,96
15,resource_2,18,75,107
7,resource_1,14,2,34
13,resource_0,11,21,50
17,resource_2,14,55,88
9,resource_3,26,77,116
8,resource_0,21,22,59
12,resource_0,12,79,99
19,resource_3,16,66,100
6,resource_4,20,80,120
18,resource_4,17,43,81
10,resource_4,18,53,85
4,resource_4,11,58,82
1,resource_4,15,51,81
5,resource_3,16,16,47
18,resource_1,11,25,60
2,resource_3,17,67,104
12,resource_4,16,78,101
0,resource_1,17,73,109
19,resource_0,22,65,99
13,resource_1,20,37,67
11,resource_1,20,61,99
3,resource_3,20,21,55
14,resource_4,24,48,95
15,resource_2,26,49,97
17,resource_1,16,44,70
16,resource_1,12,99,127
2,resource_1,26,28,73
12,resource_1,13,69,97
7,resource_4,12,51,84
