# Simulation Configuration
NumContainers,20
NumResources,5
SimulationTime,60
MaxConcurrentAccess,3
SynchronizationEnabled,false
NetworkLatencyMean,15
ProcessingTimeMean,50

# Summary Metrics
TotalRequests,4232
SuccessfulRequests,4232
Conflicts,121
Timeouts,0
TotalDuration,61
ThroughputPerSecond,69.37705
AvgAcquireTimeMs,15.489603024574668
AvgProcessingTimeMs,49.67367674858223
AvgTotalTimeMs,82.31356332703214

# Access Logs
ContainerId,ResourceId,AcquireTimeMs,ProcessingTimeMs,TotalTimeMs
7,resource_0,19,78,113
16,resource_1,12,12,43
8,resource_3,15,37,60
10,resource_4,18,25,47
2,resource_1,15,64,88
4,resource_1,23,48,87
3,resource_4,13,40,63
6,resource_3,13,120,149
0,resource_4,11,36,52
12,resource_3,18,57,96
10,resource_0,17,50,84
15,resource_1,11,33,53
17,resource_3,10,80,114
5,resource_4,13,51,84
2,resource_1,16,9,38
13,resource_0,20,15,40
8,resource_0,12,53,75
18,resource_0,11,27,53
1,resource_0,21,78,109
9,resource_2,20,63,101
11,resource_2,21,37,76
17,resource_2,19,13,52
14,resource_2,8,85,111
7,resource_0,18,65,98
19,resource_2,14,80,117
16,resource_2,21,72,122
8,resource_2,18,5,38
15,resource_2,18,39,77
4,resource_2,11,33,59
12,resource_0,13,92,126
13,resource_1,12,63,98
3,resource_4,16,37,66
2,resource_0,12,56,96
10,resource_1,14,63,93
0,resource_4,15,49,83
6,resource_4,21,80,111
5,resource_4,11,68,96
19,resource_2,6,76,94
0,resource_4,17,20,56
14,resource_0,18,24,59
7,resource_1,27,36,82
13,resource_3,18,33,64
1,resource_0,18,68,106
17,resource_2,17,48,84
9,resource_1,6,67,86
8,resource_1,12,42,67
2,resource_1,21,71,105
18,resource_1,19,51,88
15,resource_2,10,32,58
11,resource_3,7,37,53
3,resource_3,15,52,82
10,resource_0,18,46,77
13,resource_4,16,44,77
12,resource_4,24,82,119
19,resource_0,19,56,88
7,resource_3,2,49,64
8,resource_2,30,21,76
4,resource_0,19,67,104
5,resource_4,10,42,71
6,resource_2,17,40,74
1,resource_1,16,74,107
0,resource_1,17,49,184
17,resource_3,28,49,200
14,resource_0,25,10,201
16,resource_0,13,65,206
2,resource_2,19,11,66
10,resource_2,19,38,78
6,resource_0,51,60,126
18,resource_0,141,53,217
4,resource_1,42,26,83
5,resource_2,42,38,92
1,resource_1,13,40,66
11,resource_3,20,39,85
9,resource_2,60,74,147
7,resource_4,15,61,92
8,resource_1,19,50,91
15,resource_4,58,85,151
19,resource_3,11,69,99
3,resource_3,16,74,104
13,resource_1,20,74,111
17,resource_1,13,17,47
15,resource_0,12,47,78
4,resource_3,16,41,75
12,resource_0,15,68,97
7,resource_1,23,52,94
0,resource_1,17,77,109
9,resource_2,6,47,68
12,resource_3,20,43,77
16,resource_2,8,47,74
6,resource_2,5,42,79
14,resource_1,17,53,105
15,resource_1,18,33,69
10,resource_2,31,44,86
3,resource_2,19,5,37
4,resource_0,17,51,82
11,resource_0,13,54,78
13,resource_1,29,67,111
19,resource_2,9,64,82
18,resource_0,17,51,86
12,resource_0,23,47,87
0,resource_2,19,67,110
5,resource_3,29,97,141
8,resource_3,8,34,61
17,resource_0,15,74,102
1,resource_0,18,46,80
9,resource_2,10,45,62
2,resource_2,19,61,88
11,resource_4,3,62,82
0,resource_1,10,47,77
14,resource_4,15,58,99
4,resource_3,16,60,92
6,resource_2,14,34,64
15,resource_4,18,88,124
7,resource_1,14,42,71
16,resource_4,15,39,68
18,resource_4,11,43,74
12,resource_0,11,83,111
8,resource_2,8,76,100
11,resource_3,16,49,81
19,resource_0,14,42,77
17,resource_4,19,54,91
10,resource_3,19,53,88
0,resource_3,19,20,51
3,resource_4,14,54,82
6,resource_2,14,63,97
13,resource_0,7,58,88
7,resource_3,18,76,117
4,resource_0,9,68,92
11,resource_4,19,33,70
5,resource_4,11,65,98
16,resource_1,12,16,41
12,resource_4,7,47,74
19,resource_1,16,10,44
18,resource_0,16,57,87
1,resource_4,13,76,105
2,resource_2,18,67,96
14,resource_4,12,21,47
8,resource_4,16,38,66
13,resource_3,15,56,86
9,resource_1,10,35,60
15,resource_2,17,50,81
0,resource_3,19,40,65
17,resource_3,17,23,52
10,resource_1,17,57,91
18,resource_1,13,62,90
3,resource_0,23,37,78
5,resource_1,16,67,98
2,resource_4,15,54,81
6,resource_4,25,63,104
8,resource_3,10,51,82
16,resource_3,19,65,104
18,resource_3,18,14,49
7,resource_3,18,68,102
11,resource_3,16,97,125
17,resource_1,17,40,64
14,resource_1,13,65,94
15,resource_4,13,63,90
12,resource_4,20,54,93
19,resource_3,12,21,51
10,resource_2,13,48,80
0,resource_1,10,5,26
4,resource_0,11,59,81
13,resource_0,11,24,61
1,resource_2,15,59,93
8,resource_4,15,44,74
18,resource_2,13,82,104
9,resource_3,16,36,66
5,resource_0,19,63,91
16,resource_0,10,56,83
2,resource_1,20,66,97
11,resource_3,16,60,94
3,resource_4,10,47,69
15,resource_0,12,13,33
19,resource_0,21,63,93
3,resource_2,10,43,65
6,resource_4,16,64,89
13,resource_2,10,86,107
7,resource_3,18,35,59
17,resource_2,15,74,104
10,resource_1,9,30,53
4,resource_2,17,62,90
15,resource_2,18,42,81
18,resource_4,10,40,66
12,resource_4,18,81,106
0,resource_4,17,66,104
3,resource_1,19,40,66
9,resource_3,16,70,103
5,resource_0,18,35,73
1,resource_0,17,42,72
2,resource_4,22,46,83
11,resource_0,10,1,29
6,resource_3,17,54,89
14,resource_2,13,19,52
8,resource_0,19,113,152
0,resource_0,14,63,86
19,resource_2,17,56,81
16,resource_1,12,40,68
2,resource_0,21,56,88
10,resource_3,15,68,95
17,resource_0,13,44,73
9,resource_4,18,57,86
1,resource_4,20,58,90
4,resource_4,15,61,96
12,resource_3,12,44,71
13,resource_0,9,37,58
18,resource_3,16,60,89
19,resource_1,15,49,78
8,resource_4,18,21,70
2,resource_4,8,26,46
9,resource_4,12,81,107
3,resource_0,18,68,97
18,resource_1,8,35,62
1,resource_3,6,28,44
0,resource_3,12,79,107
11,resource_3,15,35,69
15,resource_4,22,46,94
14,resource_2,16,39,58
16,resource_1,14,47,78
7,resource_4,17,88,127
13,resource_2,27,65,112
8,resource_4,14,49,64
2,resource_3,18,66,97
5,resource_4,18,90,122
4,resource_2,5,10,24
17,resource_1,16,45,83
3,resource_3,15,16,47
12,resource_3,19,54,78
14,resource_3,13,82,114
6,resource_2,11,71,104
16,resource_0,21,50,83
10,resource_0,9,69,92
7,resource_1,15,62,92
13,resource_3,16,40,63
8,resource_3,19,36,67
19,resource_0,13,49,80
0,resource_2,16,48,83
18,resource_3,15,89,123
9,resource_1,16,39,75
1,resource_0,3,37,55
5,resource_0,11,47,68
4,resource_3,23,59,101
11,resource_1,8,44,62
15,resource_4,17,29,59
12,resource_3,18,36,62
2,resource_1,18,78,117
7,resource_0,10,41,68
16,resource_4,5,5,25
14,resource_1,25,64,99
10,resource_0,16,74,111
6,resource_1,16,32,63
16,resource_3,22,35,66
18,resource_0,14,64,83
3,resource_3,14,55,86
13,resource_1,22,1,36
9,resource_4,16,54,94
0,resource_0,17,58,90
15,resource_2,16,27,57
10,resource_1,20,77,113
7,resource_0,11,33,59
11,resource_0,19,30,69
4,resource_0,11,38,64
2,resource_1,19,52,97
1,resource_1,9,46,79
19,resource_3,16,71,99
13,resource_1,9,57,77
8,resource_3,12,76,106
0,resource_4,21,32,67
12,resource_3,21,22,65
17,resource_4,14,82,120
5,resource_4,21,60,93
9,resource_0,25,76,117
7,resource_4,10,5,27
3,resource_2,15,14,45
12,resource_0,17,45,77
2,resource_1,17,34,64
16,resource_1,23,61,100
15,resource_4,16,64,87
18,resource_0,12,36,65
14,resource_2,13,79,108
6,resource_2,13,79,108
0,resource_3,12,54,71
11,resource_3,7,26,51
19,resource_0,7,28,49
1,resource_1,20,39,76
4,resource_4,13,57,86
10,resource_0,17,37,67
17,resource_0,14,25,57
13,resource_3,18,62,86
9,resource_3,8,58,85
12,resource_2,15,56,81
7,resource_4,16,69,101
5,resource_3,16,50,94
8,resource_0,5,102,120
16,resource_0,16,6,35
14,resource_3,13,53,76
13,resource_1,4,53,66
3,resource_2,15,39,74
1,resource_4,19,49,81
4,resource_4,17,32,55
12,resource_2,20,21,55
2,resource_4,10,31,71
18,resource_0,6,30,51
5,resource_2,19,19,55
11,resource_3,18,67,107
19,resource_0,15,65,97
0,resource_4,20,51,88
15,resource_2,16,89,127
10,resource_4,11,21,46
8,resource_4,10,27,48
6,resource_2,13,35,62
1,resource_4,14,33,59
9,resource_0,13,43,64
17,resource_2,10,83,113
13,resource_2,10,29,58
16,resource_3,15,41,63
4,resource_4,16,36,69
2,resource_1,9,51,69
3,resource_4,14,27,59
0,resource_0,21,18,58
14,resource_1,17,62,89
17,resource_3,12,2,33
18,resource_0,14,54,82
16,resource_0,19,55,84
12,resource_3,13,78,105
15,resource_1,23,38,77
4,resource_4,4,37,52
11,resource_4,10,57,83
6,resource_4,16,34,57
9,resource_0,16,34,62
13,resource_2,12,54,84
16,resource_3,13,39,62
5,resource_0,14,43,74
19,resource_3,11,55,86
7,resource_3,23,97,139
2,resource_4,15,22,57
14,resource_1,21,43,82
1,resource_0,15,37,69
10,resource_4,15,71,109
3,resource_1,5,26,45
12,resource_0,13,24,54
8,resource_4,10,77,99
17,resource_3,19,58,95
14,resource_0,9,67,92
6,resource_1,4,54,74
0,resource_3,11,32,64
15,resource_4,11,93,120
16,resource_0,12,27,53
11,resource_0,16,39,62
4,resource_4,21,79,117
2,resource_1,12,63,96
18,resource_2,17,49,80
9,resource_2,13,23,61
7,resource_0,9,76,93
13,resource_4,14,70,98
1,resource_1,13,56,85
5,resource_1,11,55,84
3,resource_4,13,59,89
2,resource_4,17,64,100
19,resource_4,24,54,94
12,resource_0,16,77,119
16,resource_0,8,37,61
4,resource_3,21,33,57
6,resource_1,15,55,80
13,resource_4,13,57,85
8,resource_4,12,38,62
0,resource_3,18,29,63
15,resource_0,20,30,70
2,resource_4,22,3,37
17,resource_4,8,35,60
11,resource_0,16,43,80
10,resource_4,12,77,96
12,resource_1,14,65,96
14,resource_1,16,24,56
3,resource_4,15,48,67
18,resource_4,16,48,73
7,resource_1,21,68,114
9,resource_2,17,19,46
6,resource_0,20,108,140
4,resource_4,17,46,76
5,resource_4,19,40,80
19,resource_4,12,24,55
8,resource_2,13,57,87
15,resource_0,16,66,97
2,resource_3,17,49,84
9,resource_1,9,65,92
18,resource_2,10,26,47
12,resource_3,17,14,49
16,resource_1,25,56,91
13,resource_4,6,5,24
10,resource_4,17,56,90
5,resource_1,16,18,57
1,resource_1,15,40,72
14,resource_1,8,40,62
7,resource_0,15,68,100
19,resource_2,9,1,24
0,resource_1,20,62,95
11,resource_1,7,60,82
16,resource_0,6,34,54
9,resource_2,11,92,113
17,resource_1,9,59,85
8,resource_4,19,40,72
4,resource_3,17,81,115
14,resource_3,30,46,87
3,resource_0,14,74,96
13,resource_4,14,85,111
12,resource_0,16,64,97
6,resource_0,11,45,71
10,resource_4,9,71,94
18,resource_4,20,56,97
15,resource_4,18,63,102
