# Simulation Configuration
NumContainers,20
NumResources,5
SimulationTime,60
MaxConcurrentAccess,3
SynchronizationEnabled,true
NetworkLatencyMean,15
ProcessingTimeMean,50

# Summary Metrics
TotalRequests,4219
SuccessfulRequests,4219
Conflicts,0
Timeouts,0
TotalDuration,61
ThroughputPerSecond,69.16393
AvgAcquireTimeMs,16.008532827684284
AvgProcessingTimeMs,49.20786916330884
AvgTotalTimeMs,81.03342024176345

# Access Logs
ContainerId,ResourceId,AcquireTimeMs,ProcessingTimeMs,TotalTimeMs
0,resource_1,21,83,115
7,resource_4,19,27,67
8,resource_4,23,37,80
6,resource_3,8,33,55
9,resource_0,23,40,78
19,resource_3,14,32,64
14,resource_4,6,15,48
4,resource_2,18,26,66
15,resource_1,15,32,62
16,resource_2,9,29,51
17,resource_1,18,1,44
1,resource_3,16,66,100
6,resource_0,8,52,70
2,resource_0,16,29,59
8,resource_4,10,39,71
4,resource_3,12,41,68
19,resource_1,16,1,31
11,resource_0,18,74,109
3,resource_0,13,40,66
10,resource_0,16,47,78
6,resource_3,16,56,89
16,resource_1,14,37,71
18,resource_1,19,17,45
0,resource_2,23,28,63
9,resource_3,15,61,93
10,resource_0,10,50,84
8,resource_4,19,57,79
14,resource_1,8,29,53
13,resource_3,12,76,112
12,resource_3,15,77,101
17,resource_4,19,49,91
5,resource_2,15,31,59
15,resource_3,13,55,80
4,resource_0,15,75,108
12,resource_0,11,47,73
1,resource_2,8,42,71
2,resource_4,20,50,88
19,resource_1,12,55,82
7,resource_2,22,47,88
12,resource_3,8,27,56
6,resource_3,6,32,66
11,resource_1,14,53,81
16,resource_3,21,48,85
15,resource_2,5,1,25
17,resource_3,8,36,64
1,resource_4,19,38,63
18,resource_0,24,52,99
5,resource_4,12,79,111
8,resource_0,18,36,72
13,resource_4,25,35,89
9,resource_1,12,32,66
10,resource_0,14,40,70
0,resource_3,9,69,92
14,resource_4,23,82,126
3,resource_0,18,32,67
18,resource_2,12,42,69
19,resource_2,9,58,82
15,resource_2,12,79,110
7,resource_0,15,25,55
2,resource_0,12,54,79
5,resource_2,17,30,67
16,resource_2,5,44,65
4,resource_0,12,39,68
1,resource_4,27,51,95
3,resource_4,22,77,120
14,resource_4,19,44,81
12,resource_0,14,72,98
10,resource_4,18,59,84
6,resource_0,17,85,120
0,resource_0,20,52,93
15,resource_3,14,38,59
17,resource_3,20,59,96
19,resource_4,16,43,75
8,resource_0,15,33,68
18,resource_4,12,65,96
2,resource_4,12,70,96
9,resource_1,20,61,99
10,resource_3,7,63,93
11,resource_2,10,70,98
1,resource_2,15,41,64
4,resource_4,52,67,137
16,resource_0,14,59,75
5,resource_4,17,32,60
7,resource_0,11,50,66
8,resource_1,16,14,49
13,resource_1,14,41,72
6,resource_3,13,84,109
14,resource_1,5,40,55
3,resource_1,16,45,74
19,resource_1,13,87,104
2,resource_2,17,47,68
12,resource_0,18,83,122
11,resource_0,11,50,67
17,resource_0,17,59,93
1,resource_3,10,22,38
10,resource_0,12,47,70
0,resource_4,12,44,65
15,resource_0,34,43,91
9,resource_1,19,75,111
6,resource_4,16,23,58
5,resource_0,21,53,88
4,resource_4,15,51,88
8,resource_1,18,52,74
18,resource_3,18,12,52
13,resource_0,15,55,81
1,resource_3,9,46,64
12,resource_2,15,18,38
16,resource_3,21,66,101
13,resource_4,13,29,52
14,resource_2,16,62,89
11,resource_1,23,74,110
7,resource_4,19,57,88
3,resource_3,17,57,91
17,resource_4,10,72,100
13,resource_3,21,33,70
19,resource_3,16,57,96
8,resource_0,17,61,83
18,resource_3,27,37,84
0,resource_0,11,67,82
6,resource_2,6,31,46
15,resource_3,15,66,105
10,resource_4,14,89,123
9,resource_4,15,64,84
11,resource_1,8,32,57
19,resource_0,13,47,76
4,resource_2,12,71,100
2,resource_1,10,45,70
16,resource_4,14,60,90
12,resource_4,20,44,89
